1e-05,0,0,100,2.2822e-09,2.2822e-09,10,2
1e-05,0,0,100,2.2822e-09,2.2822e-09,10,2
1e-05,0,0,100,2.2822e-09,2.2822e-09,10,2
0.11112,0,0,100,2.4063e-07,2.4063e-07,10,2
0.22223,0,0,100,3.4056e-07,3.4056e-07,10,2
0.33334,0,0,100,4.1762e-07,4.1762e-07,10,2
0.44445,0,0,100,4.8307e-07,4.8307e-07,10,2
0.55555,0,0,100,5.4128e-07,5.4128e-07,10,2
0.66666,0,0,100,5.9449e-07,5.9449e-07,10,2
0.77777,0,0,100,6.4406e-07,6.4406e-07,10,2
0.88888,0,0,100,6.9084e-07,6.9084e-07,10,2
0.99999,0,0,100,7.3543e-07,7.3543e-07,10,2
